tdate,SA,BR,ID,IN,MY,MX,KR,RU,TW,CN
1999-05-03,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-04,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-05,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-06,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-07,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-10,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-11,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-12,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-13,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-14,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-17,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-18,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-19,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-20,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-21,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-24,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-25,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-26,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-27,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-28,-0.04162521040726707,0.04162521040726707,0.0,0.04162521040726707,0.04162521040726707,-0.04162521040726707,0.0,0.0,-0.04162521040726707,0.0
1999-05-31,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-01,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-02,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-03,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-04,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-07,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-08,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-09,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-10,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-11,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-14,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-15,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-16,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-17,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-18,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-21,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-22,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-23,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-24,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-25,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-28,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-29,0.0,-0.026808565542320244,0.0,-0.026808565542320244,0.026808565542320244,-0.026808565542320244,0.026808565542320244,0.026808565542320244,0.0,0.0
1999-06-30,0.0,-0.02705945103699209,0.0,-0.02705945103699209,0.02705945103699209,-0.02705945103699209,0.02705945103699209,0.02705945103699209,0.0,0.0
1999-07-01,0.0,-0.02705945103699209,0.0,-0.02705945103699209,0.02705945103699209,-0.02705945103699209,0.02705945103699209,0.02705945103699209,0.0,0.0
1999-07-02,0.0,-0.02705945103699209,0.0,-0.02705945103699209,0.02705945103699209,-0.02705945103699209,0.02705945103699209,0.02705945103699209,0.0,0.0
1999-07-05,0.0,-0.02705945103699209,0.0,-0.02705945103699209,0.02705945103699209,-0.02705945103699209,0.02705945103699209,0.02705945103699209,0.0,0.0
1999-07-06,0.0,-0.024288545819547924,0.0,-0.024288545819547924,0.024288545819547924,-0.024288545819547924,0.024288545819547924,0.024288545819547924,0.0,0.0
1999-07-07,0.0,-0.024288545819547924,0.0,-0.024288545819547924,0.024288545819547924,-0.024288545819547924,0.024288545819547924,0.024288545819547924,0.0,0.0
1999-07-08,0.0,-0.024288545819547924,0.0,-0.024288545819547924,0.024288545819547924,-0.024288545819547924,0.024288545819547924,0.024288545819547924,0.0,0.0
1999-07-09,0.0,-0.024288545819547924,0.0,-0.024288545819547924,0.024288545819547924,-0.024288545819547924,0.024288545819547924,0.024288545819547924,0.0,0.0
1999-07-12,0.0,-0.024288545819547924,0.0,-0.024288545819547924,0.024288545819547924,-0.024288545819547924,0.024288545819547924,0.024288545819547924,0.0,0.0
1999-07-13,0.0,-0.024288545819547924,0.0,-0.024288545819547924,0.024288545819547924,-0.024288545819547924,0.024288545819547924,0.024288545819547924,0.0,0.0
1999-07-14,0.0,-0.024288545819547924,0.0,-0.024288545819547924,0.024288545819547924,-0.024288545819547924,0.024288545819547924,0.024288545819547924,0.0,0.0
1999-07-15,0.0,-0.024288545819547924,0.0,-0.024288545819547924,0.024288545819547924,-0.024288545819547924,0.024288545819547924,0.024288545819547924,0.0,0.0
1999-07-16,0.0,-0.024288545819547924,0.0,-0.024288545819547924,0.024288545819547924,-0.024288545819547924,0.024288545819547924,0.024288545819547924,0.0,0.0
1999-07-19,0.0,-0.024288545819547924,0.0,-0.024288545819547924,0.024288545819547924,-0.024288545819547924,0.024288545819547924,0.024288545819547924,0.0,0.0
1999-07-20,0.0,-0.024288545819547924,0.0,-0.024288545819547924,0.024288545819547924,-0.024288545819547924,0.024288545819547924,0.024288545819547924,0.0,0.0
1999-07-21,0.0,-0.024288545819547924,0.0,-0.024288545819547924,0.024288545819547924,-0.024288545819547924,0.024288545819547924,0.024288545819547924,0.0,0.0
1999-07-22,0.0,-0.024288545819547924,0.0,-0.024288545819547924,0.024288545819547924,-0.024288545819547924,0.024288545819547924,0.024288545819547924,0.0,0.0
1999-07-23,0.0,-0.024288545819547924,0.0,-0.024288545819547924,0.024288545819547924,-0.024288545819547924,0.024288545819547924,0.024288545819547924,0.0,0.0
1999-07-26,0.0,-0.024288545819547924,0.0,-0.024288545819547924,0.024288545819547924,-0.024288545819547924,0.024288545819547924,0.024288545819547924,0.0,0.0
1999-07-27,0.0,-0.024288545819547924,0.0,-0.024288545819547924,0.024288545819547924,-0.024288545819547924,0.024288545819547924,0.024288545819547924,0.0,0.0
1999-07-28,0.0,-0.024288545819547924,0.0,-0.024288545819547924,0.024288545819547924,-0.024288545819547924,0.024288545819547924,0.024288545819547924,0.0,0.0
1999-07-29,0.0,-0.024288545819547924,0.0,-0.024288545819547924,0.024288545819547924,-0.024288545819547924,0.024288545819547924,0.024288545819547924,0.0,0.0
1999-07-30,-0.02806890248258622,-0.02806890248258622,0.0,-0.02806890248258622,0.02806890248258622,0.0,0.02806890248258622,0.02806890248258622,0.0,0.0
1999-08-02,-0.02806890248258622,-0.02806890248258622,0.0,-0.02806890248258622,0.02806890248258622,0.0,0.02806890248258622,0.02806890248258622,0.0,0.0
1999-08-03,-0.02806890248258622,-0.02806890248258622,0.0,-0.02806890248258622,0.02806890248258622,0.0,0.02806890248258622,0.02806890248258622,0.0,0.0
1999-08-04,-0.02806890248258622,-0.02806890248258622,0.0,-0.02806890248258622,0.02806890248258622,0.0,0.02806890248258622,0.02806890248258622,0.0,0.0
1999-08-05,-0.02806890248258622,-0.02806890248258622,0.0,-0.02806890248258622,0.02806890248258622,0.0,0.02806890248258622,0.02806890248258622,0.0,0.0
1999-08-06,-0.02806890248258622,-0.02806890248258622,0.0,-0.02806890248258622,0.02806890248258622,0.0,0.02806890248258622,0.02806890248258622,0.0,0.0
1999-08-09,-0.02806890248258622,-0.02806890248258622,0.0,-0.02806890248258622,0.02806890248258622,0.0,0.02806890248258622,0.02806890248258622,0.0,0.0
1999-08-10,-0.025191635409039542,-0.025191635409039542,0.0,-0.025191635409039542,0.025191635409039542,0.0,0.025191635409039542,0.025191635409039542,0.0,0.0
1999-08-11,-0.025191635409039542,-0.025191635409039542,0.0,-0.025191635409039542,0.025191635409039542,0.0,0.025191635409039542,0.025191635409039542,0.0,0.0
1999-08-12,-0.025191635409039542,-0.025191635409039542,0.0,-0.025191635409039542,0.025191635409039542,0.0,0.025191635409039542,0.025191635409039542,0.0,0.0
1999-08-13,-0.025191635409039542,-0.025191635409039542,0.0,-0.025191635409039542,0.025191635409039542,0.0,0.025191635409039542,0.025191635409039542,0.0,0.0
1999-08-16,-0.025191635409039542,-0.025191635409039542,0.0,-0.025191635409039542,0.025191635409039542,0.0,0.025191635409039542,0.025191635409039542,0.0,0.0
1999-08-17,-0.025191635409039542,-0.025191635409039542,0.0,-0.025191635409039542,0.025191635409039542,0.0,0.025191635409039542,0.025191635409039542,0.0,0.0
1999-08-18,-0.025191635409039542,-0.025191635409039542,0.0,-0.025191635409039542,0.025191635409039542,0.0,0.025191635409039542,0.025191635409039542,0.0,0.0
1999-08-19,-0.025191635409039542,-0.025191635409039542,0.0,-0.025191635409039542,0.025191635409039542,0.0,0.025191635409039542,0.025191635409039542,0.0,0.0
1999-08-20,-0.025191635409039542,-0.025191635409039542,0.0,-0.025191635409039542,0.025191635409039542,0.0,0.025191635409039542,0.025191635409039542,0.0,0.0
1999-08-23,-0.025191635409039542,-0.025191635409039542,0.0,-0.025191635409039542,0.025191635409039542,0.0,0.025191635409039542,0.025191635409039542,0.0,0.0
1999-08-24,-0.025191635409039542,-0.025191635409039542,0.0,-0.025191635409039542,0.025191635409039542,0.0,0.025191635409039542,0.025191635409039542,0.0,0.0
1999-08-25,-0.025191635409039542,-0.025191635409039542,0.0,-0.025191635409039542,0.025191635409039542,0.0,0.025191635409039542,0.025191635409039542,0.0,0.0
1999-08-26,-0.025191635409039542,-0.025191635409039542,0.0,-0.025191635409039542,0.025191635409039542,0.0,0.025191635409039542,0.025191635409039542,0.0,0.0
1999-08-27,-0.025191635409039542,-0.025191635409039542,0.0,-0.025191635409039542,0.025191635409039542,0.0,0.025191635409039542,0.025191635409039542,0.0,0.0
1999-08-30,-0.025191635409039542,-0.025191635409039542,0.0,-0.025191635409039542,0.025191635409039542,0.0,0.025191635409039542,0.025191635409039542,0.0,0.0
1999-08-31,-0.034518599613829776,-0.034518599613829776,0.0,0.0,0.034518599613829776,0.034518599613829776,0.034518599613829776,0.0,-0.034518599613829776,0.0
1999-09-01,-0.034518599613829776,-0.034518599613829776,0.0,0.0,0.034518599613829776,0.034518599613829776,0.034518599613829776,0.0,-0.034518599613829776,0.0
1999-09-02,-0.034518599613829776,-0.034518599613829776,0.0,0.0,0.034518599613829776,0.034518599613829776,0.034518599613829776,0.0,-0.034518599613829776,0.0
1999-09-03,-0.034518599613829776,-0.034518599613829776,0.0,0.0,0.034518599613829776,0.034518599613829776,0.034518599613829776,0.0,-0.034518599613829776,0.0
1999-09-06,-0.034518599613829776,-0.034518599613829776,0.0,0.0,0.034518599613829776,0.034518599613829776,0.034518599613829776,0.0,-0.034518599613829776,0.0
1999-09-07,-0.0318983935973392,-0.0318983935973392,0.0,0.0,0.0318983935973392,0.0318983935973392,0.0318983935973392,0.0,-0.0318983935973392,0.0
1999-09-08,-0.0318983935973392,-0.0318983935973392,0.0,0.0,0.0318983935973392,0.0318983935973392,0.0318983935973392,0.0,-0.0318983935973392,0.0
1999-09-09,-0.0318983935973392,-0.0318983935973392,0.0,0.0,0.0318983935973392,0.0318983935973392,0.0318983935973392,0.0,-0.0318983935973392,0.0
1999-09-10,-0.0318983935973392,-0.0318983935973392,0.0,0.0,0.0318983935973392,0.0318983935973392,0.0318983935973392,0.0,-0.0318983935973392,0.0
1999-09-13,-0.0318983935973392,-0.0318983935973392,0.0,0.0,0.0318983935973392,0.0318983935973392,0.0318983935973392,0.0,-0.0318983935973392,0.0
1999-09-14,-0.0318983935973392,-0.0318983935973392,0.0,0.0,0.0318983935973392,0.0318983935973392,0.0318983935973392,0.0,-0.0318983935973392,0.0
1999-09-15,-0.0318983935973392,-0.0318983935973392,0.0,0.0,0.0318983935973392,0.0318983935973392,0.0318983935973392,0.0,-0.0318983935973392,0.0
1999-09-16,-0.0318983935973392,-0.0318983935973392,0.0,0.0,0.0318983935973392,0.0318983935973392,0.0318983935973392,0.0,-0.0318983935973392,0.0
1999-09-17,-0.0318983935973392,-0.0318983935973392,0.0,0.0,0.0318983935973392,0.0318983935973392,0.0318983935973392,0.0,-0.0318983935973392,0.0
1999-09-20,-0.0318983935973392,-0.0318983935973392,0.0,0.0,0.0318983935973392,0.0318983935973392,0.0318983935973392,0.0,-0.0318983935973392,0.0
1999-09-21,-0.0318983935973392,-0.0318983935973392,0.0,0.0,0.0318983935973392,0.0318983935973392,0.0318983935973392,0.0,-0.0318983935973392,0.0
1999-09-22,-0.0318983935973392,-0.0318983935973392,0.0,0.0,0.0318983935973392,0.0318983935973392,0.0318983935973392,0.0,-0.0318983935973392,0.0
1999-09-23,-0.0318983935973392,-0.0318983935973392,0.0,0.0,0.0318983935973392,0.0318983935973392,0.0318983935973392,0.0,-0.0318983935973392,0.0
1999-09-24,-0.0318983935973392,-0.0318983935973392,0.0,0.0,0.0318983935973392,0.0318983935973392,0.0318983935973392,0.0,-0.0318983935973392,0.0
1999-09-27,-0.0318983935973392,-0.0318983935973392,0.0,0.0,0.0318983935973392,0.0318983935973392,0.0318983935973392,0.0,-0.0318983935973392,0.0
1999-09-28,-0.0318983935973392,-0.0318983935973392,0.0,0.0,0.0318983935973392,0.0318983935973392,0.0318983935973392,0.0,-0.0318983935973392,0.0
1999-09-29,-0.0318983935973392,-0.0318983935973392,0.0,0.0,0.0318983935973392,0.0318983935973392,0.0318983935973392,0.0,-0.0318983935973392,0.0
1999-09-30,0.0,-0.026052651813767758,0.0,-0.026052651813767758,-0.026052651813767758,0.026052651813767758,0.0,0.026052651813767758,0.026052651813767758,0.0
1999-10-01,0.0,-0.026052651813767758,0.0,-0.026052651813767758,-0.026052651813767758,0.026052651813767758,0.0,0.026052651813767758,0.026052651813767758,0.0
1999-10-04,0.0,-0.026052651813767758,0.0,-0.026052651813767758,-0.026052651813767758,0.026052651813767758,0.0,0.026052651813767758,0.026052651813767758,0.0
1999-10-05,0.0,-0.026052651813767758,0.0,-0.026052651813767758,-0.026052651813767758,0.026052651813767758,0.0,0.026052651813767758,0.026052651813767758,0.0
1999-10-06,0.0,-0.026052651813767758,0.0,-0.026052651813767758,-0.026052651813767758,0.026052651813767758,0.0,0.026052651813767758,0.026052651813767758,0.0
1999-10-07,0.0,-0.026052651813767758,0.0,-0.026052651813767758,-0.026052651813767758,0.026052651813767758,0.0,0.026052651813767758,0.026052651813767758,0.0
1999-10-08,0.0,-0.026052651813767758,0.0,-0.026052651813767758,-0.026052651813767758,0.026052651813767758,0.0,0.026052651813767758,0.026052651813767758,0.0
1999-10-11,0.0,-0.026052651813767758,0.0,-0.026052651813767758,-0.026052651813767758,0.026052651813767758,0.0,0.026052651813767758,0.026052651813767758,0.0
1999-10-12,0.0,-0.026052651813767758,0.0,-0.026052651813767758,-0.026052651813767758,0.026052651813767758,0.0,0.026052651813767758,0.026052651813767758,0.0
1999-10-13,0.0,-0.026052651813767758,0.0,-0.026052651813767758,-0.026052651813767758,0.026052651813767758,0.0,0.026052651813767758,0.026052651813767758,0.0
1999-10-14,0.0,-0.026052651813767758,0.0,-0.026052651813767758,-0.026052651813767758,0.026052651813767758,0.0,0.026052651813767758,0.026052651813767758,0.0
1999-10-15,0.0,-0.026052651813767758,0.0,-0.026052651813767758,-0.026052651813767758,0.026052651813767758,0.0,0.026052651813767758,0.026052651813767758,0.0
1999-10-18,0.0,-0.026052651813767758,0.0,-0.026052651813767758,-0.026052651813767758,0.026052651813767758,0.0,0.026052651813767758,0.026052651813767758,0.0
